"","model","sens","spec","auc","accuracy"
"1","opportunity.1",0.717391304347826,0.828660436137072,0.853988893403763,0.821220930232558
"2","opportunity.2",0.717391304347826,0.827102803738318,0.855817418393604,0.819767441860465
"3","opportunity.3",0.692307692307692,0.805157593123209,0.836014987877453,0.797333333333333
"4","opportunity.4",0.5625,0.873889875666075,0.86101243339254,0.857142857142857
"5","opportunity.5",0.5625,0.875666074600355,0.860956927175844,0.858823529411765
"6","grievance.1",0.644067796610169,0.806573957016435,0.777411129443529,0.795294117647059
"7","grievance.2",0.560975609756098,0.793960923623446,0.759260061517131,0.778145695364238
"8","grievance.3",0.684210526315789,0.847787610619469,0.806474149976711,0.837479270315091
"9","combined.1",0.760869565217391,0.810985460420032,0.85727330195968,0.807518796992481
"10","combined.2",0.717391304347826,0.804523424878837,0.860188241904898,0.798496240601504
"11","combined.3",0.71875,0.803131991051454,0.849832214765098,0.797494780793319
"12","combined.4",0.760869565217391,0.807754442649435,0.861417433448061,0.804511278195489
"13","combined.5",0.739130434782609,0.828660436137072,0.859779222538261,0.822674418604651
"14","combined.6",0.673076923076923,0.820916905444126,0.835794577914921,0.810666666666667
"15","combined.7",0.822222222222222,0.824302134646962,0.894252873563215,0.824159021406728
